slug,kind,parent_slug,proposed_title,edition_or_owned_detail,quantity,standalone,source_url,known_bgg_id,match_status,intake_notes,matching_notes
ticket-to-ride,game,,Ticket to Ride,Original USA game,1,false,https://boardgamegeek.com/boardgame/9209/ticket-to-ride,9209,matched-from-source,Confirmed by owner.,
botany,game,,Botany,,1,false,https://boardgamegeek.com/boardgame/380837/botany,380837,matched-from-source,,
everdell,game,,Everdell,,1,false,https://boardgamegeek.com/boardgame/199792/everdell,199792,matched-from-source,,
everdell-duo,game,,Everdell Duo,Standalone two-player game,1,false,https://boardgamegeek.com/boardgame/425005/everdell-duo,425005,matched-from-source,,
gaia-project,game,,Gaia Project,,1,false,https://boardgamegeek.com/boardgame/220308/gaia-project,220308,matched-from-source,,
terraforming-mars,game,,Terraforming Mars,,1,false,https://boardgamegeek.com/boardgame/167791/terraforming-mars,167791,matched-from-source,,
wingspan,game,,Wingspan,,1,false,https://boardgamegeek.com/boardgame/266192/wingspan,266192,matched-from-source,,
clank-catacombs,game,,Clank!: Catacombs,,1,false,https://boardgamegeek.com/boardgame/365717/clank-catacombs,365717,matched-from-source,,
clank-catacombs-underworld,expansion,clank-catacombs,Clank!: Catacombs – Underworld,,1,false,https://boardgamegeek.com/boardgame/447586/clank-catacombs-underworld,447586,matched-from-source,,
one-hit-heroes,game,,One-Hit Heroes,,1,false,https://boardgamegeek.com/boardgame/412731/one-hit-heroes,412731,matched-from-source,,
the-castles-of-burgundy,game,,The Castles of Burgundy,Original edition (provisional),1,false,https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy,84876,matched-from-source,Owner believes this is the original; verify from box later if convenient.,
heat-pedal-to-the-metal,game,,Heat: Pedal to the Metal,,1,false,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal,366013,matched-from-source,,
terraria-the-board-game,game,,Terraria: The Board Game,,1,false,https://boardgamegeek.com/boardgame/391286/terraria-the-board-game,391286,matched-from-source,,
spirit-island,game,,Spirit Island,,1,false,https://boardgamegeek.com/boardgame/162886/spirit-island,162886,matched-from-source,,
dead-cells-the-rogue-lite-board-game,game,,Dead Cells: The Rogue-Lite Board Game,,1,false,https://boardgamegeek.com/boardgame/380135/dead-cells-the-rogue-lite-board-game,380135,matched-from-source,,
stardew-valley-the-board-game,game,,Stardew Valley: The Board Game,,1,false,https://boardgamegeek.com/boardgame/332290/stardew-valley-the-board-game,332290,matched-from-source,,
secret-hitler,game,,Secret Hitler,,1,false,https://boardgamegeek.com/boardgame/188834/secret-hitler,188834,matched-from-source,,
twilight-imperium-fourth-edition,game,,Twilight Imperium: Fourth Edition,Fourth Edition,1,false,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,233078,matched-from-source,Confirmed by owner.,
one-last-fight,game,,One Last Fight,,1,false,https://boardgamegeek.com/boardgame/463580/one-last-fight,463580,matched-from-source,Matched from owner-provided BGG link.,
unsettled,game,,Unsettled,Framework,1,false,https://boardgamegeek.com/boardgame/290484/unsettled,290484,matched-from-source,Confirmed by owner.,
unsettled-wenora,expansion,unsettled,Unsettled: Wenora,Planet box 001,1,false,https://orangenebula.com/en-asia/pages/unsettled-board-game,,local-only,Included with the Framework product; no separate BGG item. Inherits base metadata.,
unsettled-grakkis,expansion,unsettled,Unsettled: Grakkis,Planet box 002,1,false,https://orangenebula.com/en-asia/pages/unsettled-board-game,,local-only,Included with the Framework product; no separate BGG item. Inherits base metadata.,
unsettled-zehronn,expansion,unsettled,Unsettled: Zehronn,Planet box 003,1,false,https://boardgamegeek.com/boardgame/341022/unsettled-zehronn,341022,matched-from-source,Confirmed by owner.,
unsettled-yendraal,expansion,unsettled,Unsettled: Yendraal,Planet box 004,1,false,https://boardgamegeek.com/boardgame/341024/unsettled-yendraal,341024,matched-from-source,Confirmed by owner.,
unsettled-strannos,expansion,unsettled,Unsettled: Strannos,Planet box 005,1,false,https://boardgamegeek.com/boardgame/341036/unsettled-strannos,341036,matched-from-source,Confirmed by owner.,
unsettled-kaelyfos,expansion,unsettled,Unsettled: Kaelyfos,Planet box 006,1,false,https://boardgamegeek.com/boardgame/341037/unsettled-kaelyfos,341037,matched-from-source,Confirmed by owner.,
unsettled-koguya,expansion,unsettled,Unsettled: Koguya,Planet box 007,1,false,https://boardgamegeek.com/boardgame/358002/unsettled-koguya,358002,matched-from-source,Confirmed by owner.,
unsettled-blackout,expansion,unsettled,Unsettled: Blackout,Planet box 008,1,false,https://boardgamegeek.com/boardgame/358003/unsettled-blackout,358003,matched-from-source,Confirmed by owner.,
unsettled-gniir,expansion,unsettled,Unsettled: Gniir,Planet box 009,1,false,https://boardgamegeek.com/boardgame/358004/unsettled-gniir,358004,matched-from-source,Confirmed by owner.,
unsettled-scientific-fascinations,expansion,unsettled,Unsettled: Scientific Fascinations,,1,false,https://boardgamegeek.com/boardgame/358009/unsettled-scientific-fascinations,358009,matched-from-source,Confirmed by owner.,
unsettled-scientific-specializations,expansion,unsettled,Unsettled: Scientific Specializations,,1,false,https://boardgamegeek.com/boardgame/358008/unsettled-scientific-specializations,358008,matched-from-source,Confirmed by owner.,
unsettled-lunas-synthesizer,expansion,unsettled,Unsettled: Luna's Synthesizer,,1,false,https://boardgamegeek.com/boardgame/405580/unsettled-lunas-synthesizer,405580,matched-from-source,Confirmed by owner.,
unsettled-survival-task-pack-1,expansion,unsettled,Unsettled: Survival Task Pack 1,,1,false,https://boardgamegeek.com/boardgame/358007/unsettled-survival-task-pack-1,358007,matched-from-source,Confirmed by owner.,
unsettled-survival-task-pack-2,expansion,unsettled,Unsettled: Survival Task Pack 2,,1,false,https://boardgamegeek.com/boardgame/409629/unsettled-survival-task-pack-2,409629,matched-from-source,Confirmed by owner.,
throw-throw-burrito,game,,Throw Throw Burrito,,1,false,https://boardgamegeek.com/boardgame/274533/throw-throw-burrito,274533,matched-from-source,,
command-of-nature,game,,Command of Nature,,1,false,https://boardgamegeek.com/boardgame/390422/command-of-nature,390422,matched-from-source,,
command-of-nature-sand-and-wind,expansion,command-of-nature,Command of Nature: Sand & Wind,,1,false,https://boardgamegeek.com/boardgameexpansion/392144/command-of-nature-sand-and-wind,392144,matched-from-source,Confirmed by owner.,
medium,game,,Medium,,1,false,https://boardgamegeek.com/boardgame/242529/medium,242529,matched-from-source,,
monikers,game,,Monikers,,1,false,https://boardgamegeek.com/boardgame/156546/monikers,156546,matched-from-source,,
deep-regrets,game,,Deep Regrets,,1,false,https://boardgamegeek.com/boardgame/397931/deep-regrets,397931,matched-from-source,,
brink,game,,Brink,IV Studio / Moonrakers setting,1,false,https://boardgamegeek.com/boardgame/415078/brink,415078,matched-from-source,Matched from owner-provided BGG link.,
pandemic,game,,Pandemic,,1,false,https://boardgamegeek.com/boardgame/30549/pandemic,30549,matched-from-source,,
leviathan-wilds,game,,Leviathan Wilds,,1,false,https://boardgamegeek.com/boardgame/358737/leviathan-wilds,358737,matched-from-source,,
